salary_id,employee_id,basic_salary,bonus,allowance,salary_month,payment_status
1,1,55000,5000,8000,"2024-01","paid"
2,2,62000,6000,9000,"2024-01","paid"
3,3,48000,4000,7000,"2024-01","paid"
4,4,75000,8000,10000,"2024-01","paid"
5,5,52000,5000,8000,"2024-01","PAID"
6,6,47000,4000,7000,"2024-01","paid"
7,7,58000,5500,8500,"2024-01","paid"
8,8,43000,3500,6500,"2024-01","Paid"
9,9,65000,7000,9500,"2024-01","paid"
10,10,53000,5000,8000,"2024-01","paid"
11,11,41000,3000,6000,"2024-01","paid"
12,12,46000,4000,7000,"2024-01","PAID"
13,13,60000,6000,9000,"2024-01","paid"
14,14,63000,6500,9500,"2024-01","paid"
15,15,72000,8000,10500,"2024-01","paid"
16,16,80000,9000,11000,"2024-01","paid"
17,17,54000,5000,8000,"2024-01","Paid"
18,18,49000,4000,7500,"2024-01","paid"
19,19,67000,7000,10000,"2024-01","paid"
20,20,70000,7500,10000,"2024-01","paid"
21,21,55000,5000,8000,"2024-01","paid"
22,22,42000,3500,6500,"2024-01","PAID"
23,23,47000,4000,7000,"2024-01","paid"
24,24,46000,4000,7000,"2024-01","paid"
25,25,50000,4500,7500,"2024-01","paid"
26,26,41000,3000,6000,"2024-01","paid"
27,27,60000,6000,9000,"2024-01","Paid"
28,28,74000,8000,10500,"2024-01","paid"
29,29,65000,7000,9500,"2024-01","paid"
30,30,49000,4000,7500,"2024-01","PAID"
31,31,57000,5500,8500,"2024-01","paid"
32,32,44000,3500,6500,"2024-01","paid"
33,33,53000,5000,8000,"2024-01","paid"
34,34,63000,6500,9500,"2024-01","paid"
35,35,50000,4500,7500,"2024-01","paid"
36,36,46000,4000,7000,"2024-01","Paid"
37,37,61000,6000,9000,"2024-01","paid"
38,38,69000,7000,10000,"2024-01","paid"
39,39,54000,5000,8000,"2024-01","paid"
40,40,,3500,6500,"2024-01","paid"
41,41,76000,8500,11000,"2024-01","PAID"
42,42,49000,4000,7500,"2024-01","paid"
43,43,47000,4000,7000,"2024-01","paid"
44,44,67000,7000,10000,"2024-01","paid"
45,45,,3000,6000,"2024-01","paid"
46,46,82000,9000,11500,"2024-01","paid"
47,47,55000,5000,8000,"2024-01","Paid"
48,48,46000,4000,7000,"2024-01","paid"
49,49,58000,5500,8500,"2024-01","paid"
50,50,63000,6500,9500,"2024-01","PAID"
51,51,53000,5000,8000,"2024-01","paid"
52,52,41000,3000,6000,"2024-01","paid"
53,53,60000,6000,9000,"2024-01","paid"
54,54,49000,4000,7500,"2024-01","paid"
55,55,65000,7000,9500,"2024-01","paid"
56,1,55000,5000,8000,"2024-01","paid"
57,9,65000,7000,9500,"2024-01","paid"
58,16,80000,9000,11000,"2024-01","paid"
59,3,48000,,7000,"2024-01","paid"
60,22,42000,3500,,"2024-01","paid"
